id,question,language,category,label,pred,response_time,n_docs_retrieved,hallucination_flag,faithfulness,answer_relevancy,context_utilization,answer_preview
Q100,Quins son els signes de deshidratacio en lactants?,Catalan,answerable,1,1,7.972193002700806,5,0,0.8571428571428571,0.5569076382236887,0.99999999998,"Els signes de deshidratació en lactants inclouen una boca seca o pegada, orina menys freqüent, poca o cap llàgrima quan plora, vertigen o somnolència. Aquests símptomes poden ser indicadors que el seu"
Q095,Quins son els simptomes de la varicella en nens?,Catalan,answerable,1,1,7.308025598526001,5,0,0.9166666666666666,0.8681162871695053,0.8041666666465626,"Els símptomes de la varicella en nens comencen amb una febre, mal de cap, estómac o gola, i després apareix una erupció cutània itiosa que pot semblar a pujols o picadures d'insectes. La erupció té tr"
Q139,Com s'apren a tocar la guitarra?,Catalan,not_answerable,0,0,2.925560474395752,0,0,,,,"No sé què és el que estàs preguntant, però si estàs buscant informació sobre vacunes o medicaments per a tu fill, et recomanaria consultar amb un professional de la salut. No puc proporcionar cap info"
Q140,Que es el canvi climatic?,Catalan,not_answerable,0,0,2.6500682830810547,0,0,,,,No sé què és el canvi climàtic. La seva pregunta està fora del meu coneixement com a assistent pediàtric.
Q097,Quan cal anar al metge per febre en un infant?,Catalan,answerable,1,1,6.061755657196045,5,0,0.8,0.5827570339851733,0.94999999997625,"Si el seu infant té una temperatura alta, refús del menjar, vòmits repetits o sembla molt irritat, cal anar immediatament al metge. Aquests símptomes poden ser senyals d'una febre que necessita atenci"
Q096,Com es tracta una otitis en un bebe?,Catalan,answerable,1,1,7.189668893814087,5,0,0.75,0.8617516174161601,0.9999999999666667,"Si su bebé tiene una otitis, es posible que no necesite antibióticos inmediatos, ya que muchos casos de otitis media pueden ser tratados con un enfoque 'espera-y-ver' y medicina para aliviar el dolor."
Q138,Qui va guanyar l'ultim Mundial de futbol?,Catalan,not_answerable,0,0,6.765216827392578,0,0,,,,"No puc ajudar-te amb aquesta pregunta, ja que és una pregunta de futbol. Si vols saber alguna cosa relacionada amb la salut dels infants, estic aquí per ajudar-te."
Q099,Com es preve la grip en nadons?,Catalan,answerable,1,1,9.870229721069336,5,0,0.75,0.8522238749546147,0.8055555555287036,"Per prevenir la grip en els nadons, cal seguir les mateixes mesures que per prevenir-la en adults: rentar les mans sovint i bé, evitar contactes estrets amb els nadons quan estem malalts, no compartir"
Q137,Com es fa una paella?,Catalan,not_answerable,0,0,2.4290711879730225,0,0,,,,"No puc respondre aquesta pregunta perquè és fora de l'àmbit dels assistents pediàtrics. Si vols saber com fer una paella, et recomano buscar una receta en un llibre de cuina o en una web de receptes."
Q098,Que es la meningitis en nens i quins signes te?,Catalan,answerable,1,1,12.374184131622314,5,0,1.0,0.6715039449907539,0.999999999975,"La méningite est une inflammation des membranes qui recouvrent le cerveau et la moelle épinière. Les symptômes peuvent varier en fonction de l'âge du enfant et de la cause de la méningite, mais les pl"
