id,question,language,category,label,pred,response_time,n_docs_retrieved,hallucination_flag,faithfulness,answer_relevancy,context_utilization,answer_preview
Q084,Cos'e la meningite batterica nei bambini?,Italian,answerable,1,1,17.86546802520752,5,0,,0.572530409169039,0.5833333333041666,"La meningite batterica nei bambini è una condizione medica grave che può essere causata da batteri come Haemophilus influenzae tipo b (Hib). I sintomi possono includere febbre, mal di testa, rigidità "
Q054,?Cuando debo llevar a mi hijo al medico por una infeccion?,Spanish,answerable,1,1,21.009219646453857,5,0,0.6666666666666666,0.5372122169386135,0.99999999998,"Debes llevar a tu hijo al médico si notas cualquier cambio en su comportamiento o estado general, especialmente si tiene fiebre, dolor de cabeza, masas o bultos subcutáneos, dificultad para respirar, "
Q071,A quel age commencer la vaccination contre la rougeole?,French,answerable,1,1,19.456989765167236,5,0,1.0,0.6647833709653399,0.8055555555287036,"La vaccination contre la rougeole commence généralement à l'âge de 12 à 15 mois, mais si votre enfant voyage à l'étranger, il peut recevoir la première dose dès 6 mois. C'est important pour protéger v"
Q046,When should parents call a doctor for a sick child?,English,answerable,1,1,14.031548261642456,5,0,1.0,0.9245998319121167,0.99999999998,"{
  ""reasoning"": 
    The context contains enough evidence to answer the question as it provides several scenarios in which parents should call a doctor for their sick child. The most relevant pieces "
Q045,What is pediatric fever and when is it dangerous?,English,answerable,1,1,24.480081796646118,5,0,0.9090909090909091,0.7721564509898753,0.5888888888692593,"A fever in children is an elevated body temperature that helps their immune system fight off infections. It's usually caused by an infection, which can be viral or bacterial, and can manifest with sym"
Q040,What is impetigo?,English,answerable,1,1,9.784037113189697,5,0,1.0,0.8635747755767132,0.8333333332916666,"Impetigo is a very common bacterial skin infection among kids, especially preschoolers and school-age kids. It can cause blisters or sores, is not usually serious, and improves with antibiotic treatme"
Q023,What is bronchiolitis in infants?,English,answerable,1,1,19.01625347137451,5,0,1.0,0.9051504449326375,0.94999999997625,"Bronchiolitis in infants is an infection of the respiratory tract caused by a virus called respiratory syncytial virus (RSV). It affects small airways and can cause symptoms such as fever, cough, whee"
Q081,Quali sono i sintomi dell'otite nei bambini?,Italian,answerable,1,1,19.862404823303223,5,0,0.8571428571428571,0.472137753997882,0.8666666666377778,"I sintomi più comuni dell'otite nei bambini includono dolore al orecchio, febbre, difficoltà a mangiare, bere o dormire e un senso di pienezza o pressione all'interno dell'orecchio. In alcuni casi, il"
Q011,Can vaccines cause autism?,English,answerable,1,1,19.90529155731201,5,0,1.0,0.9104387203831266,0.9999999999666667,"Il n'y a pas de lien entre les vaccins et le trouble du spectre autistique. Les études scientifiques ont montré que les vaccins ne causent pas l'autisme, y compris la recherche utilisée dans l'étude d"
Q001,What is the MMR vaccine and what diseases does it protect against?,English,answerable,1,1,28.597275972366333,5,0,0.5,0.8539522903327306,0.8874999999778125,"The MMR vaccine is a shot that protects your child against three serious infections: measles, mumps, and rubella (also known as German measles). Measles can cause a high fever, cough, runny nose, and "
Q019,How is strep throat diagnosed?,English,answerable,1,1,13.68977975845337,5,0,0.75,0.9174919445425878,0.9999999999666667,"Strep throat can be diagnosed through a rapid strep test, which involves rubbing a cotton swab in the back of the throat to take a sample of fluids, or a throat culture, where a sample swabbed from th"
Q031,What is conjunctivitis (pink eye)?,English,answerable,1,1,8.993350505828857,5,0,0.8571428571428571,0.9516777210993433,0.94999999997625,"Conjunctivitis, commonly known as pinkeye, is an inflammation of the conjunctiva, which is the white part of the eye and the inner eyelids. It's usually caused by a bacterial or viral infection, and c"
Q074,Welche Impfungen braucht ein Neugeborenes?,German,answerable,1,1,15.209887027740479,5,0,0.8,0.3784790107889853,0.8333333332916666,"Ein Neugeborenes benötigt mehrere wichtige Impfungen. Die erste Impfung gegen Hepatitis B sollte innerhalb der ersten 12 Stunden nach der Geburt erfolgen, wenn die Mutter das Virus in ihrem Blut trägt"
Q034,What is food poisoning?,English,answerable,1,1,16.76815629005432,5,0,1.0,0.8516466593091586,0.94999999997625,"Food poisoning is an illness caused by eating or drinking something contaminated with germs, such as bacteria or viruses. These germs can get into foods during preparation, storage, or handling, and r"
Q091,O que e meningite em criancas?,Portuguese,answerable,1,1,13.51744031906128,5,0,1.0,0.6986979109563973,0.7555555555303703,"A meningite em crianças é uma inflamação das meninges, os membros que cobrem o cérebro e a medula espinhal. Pode ser causada por vírus ou bactérias e seus sintomas podem variar de acordo com a idade d"
Q120,Qu'est-ce que l'intelligence artificielle?,French,not_answerable,0,0,6.0046706199646,0,0,,,,"Je suis désolé, mais je ne connais pas la réponse à votre question car elle concerne l'intelligence artificielle et non les soins de santé pédiatriques."
Q117,Comment faire une bonne baguette?,French,not_answerable,0,0,1.348745346069336,0,0,,,,"Je suis désolé, mais je ne peux pas vous aider avec votre question car elle n'est pas liée à la santé ou aux soins pour enfants."
Q116,Quelle est la capitale de l'Allemagne?,French,not_answerable,0,0,1.3917641639709473,0,0,,,,"Je suis désolé, mais je ne peux pas répondre à votre question car elle concerne la géographie et non la santé ou les enfants."
Q127,Come si prepara la pasta al pomodoro?,Italian,not_answerable,0,0,1.5052618980407715,0,0,,,,"Mi dispiace, ma la domanda sembra essere relativa a una ricetta di cucina e non ha nulla a che fare con la salute o i bambini. Se hai altre domande relative alla cura dei tuoi figli o a problemi di sa"
Q105,How do I learn Python programming?,English,not_answerable,0,0,0.3690054416656494,0,0,,,,I cannot provide information on how to learn Python programming. Is there anything else I can help you with?
