id,question,language,category,label,pred,response_time,n_docs_retrieved,hallucination_flag,faithfulness,answer_relevancy,context_utilization,answer_preview
Q084,Cos'e la meningite batterica nei bambini?,Italian,answerable,1,1,6.238990068435669,5,0,1.0,0.5771050213150042,0.8874999999778125,"La meningite batterica nei bambini è una condizione medica grave e pericolosa. I sintomi possono includere nausea, vomito, irritabilità, mancanza di energia o sonnolenza. È importante ricordare che la"
Q054,?Cuando debo llevar a mi hijo al medico por una infeccion?,Spanish,answerable,1,1,6.559770584106445,5,0,0.8,0.7613117219210018,0.9999999999666667,"Si su hijo desarrolla una erupción repentina, especialmente si también tiene fiebre, dolor de garganta o glándulas inflamadas, debe llevarlo al médico inmediatamente. También es importante buscar aten"
Q071,A quel age commencer la vaccination contre la rougeole?,French,answerable,1,1,12.541653633117676,5,0,1.0,0.8391086809161586,0.99999999998,"La vaccination contre la rougeole est généralement administrée à deux doses : une première dose entre 12 et 15 mois, et une seconde dose entre 4 et 6 ans. Si votre enfant voyage à l'étranger ou vit da"
Q046,When should parents call a doctor for a sick child?,English,answerable,1,1,5.6266796588897705,5,0,0.8333333333333334,0.7817437845581326,0.99999999998,"Parents should call a doctor immediately if their child shows any of the following symptoms: high fever, vomiting or diarrhea that lasts longer than 2 hours, low blood sugar, severe pain, sudden devel"
Q045,What is pediatric fever and when is it dangerous?,English,answerable,1,1,11.738282918930054,5,0,1.0,0.8491404679630185,0.6791666666496875,"A pediatric fever refers to a body temperature of 100.4°F (38°C) or higher in children. A fever can be caused by an infection, but it's also possible that it's due to overdressing, getting vaccinated,"
Q040,What is impetigo?,English,answerable,1,1,3.6625473499298096,5,0,1.0,0.88309035899052,0.7499999999625,"Impetigo is a very common bacterial skin infection among kids, especially preschoolers and school-age kids. It can cause blisters or sores, is not usually serious, and improves with antibiotic treatme"
Q023,What is bronchiolitis in infants?,English,answerable,1,1,6.955551862716675,5,0,1.0,0.9999999999999998,0.999999999975,"Bronchiolitis in infants is an infection of the respiratory tract caused by a virus. It occurs when tiny airways called bronchioles get infected with a virus, swell and fill with mucus, which can make"
Q081,Quali sono i sintomi dell'otite nei bambini?,Italian,answerable,1,1,5.954464912414551,5,0,1.0,0.4964349272041512,0.699999999965,"I sintomi dell'otite nei bambini includono dolore all'orecchio, febbre, difficoltà a mangiare, bere o dormire e irritabilità. I bambini possono anche essere più piagnucolosi del solito. È importante n"
Q011,Can vaccines cause autism?,English,answerable,1,1,5.870360612869263,5,0,0.8,0.8700905197663379,0.9999999999666667,"Il n'y a aucune preuve scientifique que les vaccins causent le trouble du spectre autistique (TSA). En fait, de nombreuses études ont montré qu'il n'y a pas de lien entre les vaccins et le TSA. Les so"
Q001,What is the MMR vaccine and what diseases does it protect against?,English,answerable,1,1,5.14800763130188,5,0,0.25,0.9125980178185454,0.9166666666361111,"The MMR vaccine is a shot given to children to protect them from three serious diseases: measles, mumps, and rubella (also known as German measles). Measles is a highly contagious viral illness that c"
Q019,How is strep throat diagnosed?,English,answerable,1,1,5.708413362503052,5,0,1.0,0.9999999999999998,0.999999999975,"Strep throat is diagnosed through a combination of physical examination, medical history, and laboratory tests. A rapid strep test is often used in the office to quickly diagnose strep throat by detec"
Q031,What is conjunctivitis (pink eye)?,English,answerable,1,1,6.408651113510132,5,0,1.0,0.2649325799393794,0.99999999995,"Conjunctivitis, commonly known as pink eye, is an inflammation of the conjunctiva, which is the white part of the eye and the inner eyelids. It's usually a minor infection that can be caused by bacter"
Q074,Welche Impfungen braucht ein Neugeborenes?,German,answerable,1,1,13.333728551864624,5,0,0.875,0.3608714807449805,0.8333333332916666,"Ein Neugeborenes benötigt mehrere Impfungen, um gegen verschiedene Krankheiten geschützt zu sein. Die Hepatitis B-Impfung (HepB) schützt vor einer Infektion mit dem Hepatitis-B-Virus und ist eine der "
Q034,What is food poisoning?,English,answerable,1,1,9.52668571472168,5,0,1.0,0.8516466593091586,0.9166666666361111,"Food poisoning is an illness caused by germs such as bacteria and viruses getting into the body through contaminated food or liquids. These germs release toxins that can cause symptoms like diarrhea, "
Q091,O que e meningite em criancas?,Portuguese,answerable,1,1,11.928442001342773,5,0,0.9,0.6943493574846635,0.9166666666361111,"A meningite em crianças é uma inflamação das meninges que pode ser causada por vírus ou bactérias. Os sintomas incluem febre, vômito, dor de cabeça, fadiga, confusão, rigidez do pescoço e bulbo ocular"
Q120,Qu'est-ce que l'intelligence artificielle?,French,not_answerable,0,0,6.559937000274658,0,0,,,,"Je suis désolé, mais je ne peux pas répondre à votre question car elle est en dehors du domaine de la pédiatrie et des soins de santé. Si vous avez une question sur les vaccins, les médicaments ou les"
Q117,Comment faire une bonne baguette?,French,not_answerable,0,0,1.7431285381317139,0,0,,,,"Je suis désolé, mais je ne peux pas répondre à votre question car elle semble être liée à la cuisine plutôt qu'à la santé ou les soins pédiatriques. Si vous avez des questions sur la santé de votre en"
Q116,Quelle est la capitale de l'Allemagne?,French,not_answerable,0,0,2.513533115386963,0,0,,,,"Je suis désolé, mais je ne connais pas la capitale de l'Allemagne. Si vous avez une question sur les soins pour enfants ou les vaccins, je serai ravi de vous aider."
Q127,Come si prepara la pasta al pomodoro?,Italian,not_answerable,0,0,1.4720959663391113,0,0,,,,"Lo siento, pero no puedo ayudar con recetas de cocina."
Q105,How do I learn Python programming?,English,not_answerable,0,0,1.835404396057129,0,0,,,,I don't know how to assist with learning Python programming as it is not related to pediatric or health-related topics.
